id;director_name;original_title;vote_average;genres;release_date;actor1_name;actor2_name;actor3_name;actor4_name;actor5_name
2924;Ron Howard;Backdraft;6.3;Action|Crime|Drama|Mystery|Thriller;24/05/1991;Kurt Russell;William Baldwin;Robert De Niro;Donald Sutherland;Jennifer Jason Leigh
2925;Hugh Wilson;The First Wives Club;6.4;Comedy;20/09/1996;Goldie Hawn;Bette Midler;Diane Keaton;Maggie Smith;Dan Hedaya
2926;Richard Lester;The Three Musketeers;6.9;Action|Adventure|Comedy|Drama;11/12/1973;Michael York;Oliver Reed;Richard Chamberlain;Frank Finlay;Faye Dunaway
2927;Roland Emmerich;Moon 44;4.9;Science Fiction;15/02/1990;Michael Paré;Lisa Eichhorn;Dean Devlin;Brian Thompson;Malcolm McDowell
2928;Nora Ephron;Michael;5.5;Comedy|Drama|Fantasy;25/12/1996;John Travolta;Andie MacDowell;William Hurt;Bob Hoskins;Jean Stapleton
2929;J. Searle Dawley;Frankenstein;6.5;Horror|Science Fiction;18/03/1910;Mary Fuller;Charles Ogle;Augustus Phillips;none;none
2956;Otto Rippert;Homunculus, 1. Teil;7.0;Horror|Science Fiction;18/08/1916;Fern Andra;Josef Bunzl;Maria Carmi;Aud Egede Nissen;Lia Borré
2957;Otto Rippert;Das geheimnisvolle Buch;0.0;Horror|Science Fiction;1/01/1916;Ernst Benzinger;Einar Bruun;Aud Egede Nissen;Margarete Ferida;none
2958;Otto Rippert;Die Liebestragödie des Homunculus;7.5;Horror|Science Fiction;1/01/1916;Aud Egede Nissen;Olaf Fønss;Friedrich Kühne;Ilsa Lersen;Theodor Loos
2959;Ken Kwapis;License to Wed;5.2;Comedy;4/07/2007;Robin Williams;Mandy Moore;John Krasinski;Eric Christian Olsen;Christine Taylor
2960;Otto Rippert;Die Rache des Homunculus;8.0;Horror|Science Fiction;1/01/1916;Maria Carmi;Aud Egede Nissen;Olaf Fønss;Friedrich Kühne;Theodor Loos
2961;Otto Rippert;Die Vernichtung der Menschheit;0.0;Horror|Science Fiction;1/01/1916;Aud Egede Nissen;Olaf Fønss;Maria Immhofen;Friedrich Kühne;Theodor Loos
