id;director_name;original_title;vote_average;genres;release_date;actor1_name;actor2_name;actor3_name;actor4_name;actor5_name
2;Aki Kaurismäki;Ariel;7.1;Drama|Crime;21/10/1988;Turo Pajala;Susanna Haavisto;Matti Pellonpää;Eetu Hilkamo;none
3;Aki Kaurismäki;Varjoja paratiisissa;7.0;Drama|Comedy;16/10/1986;Matti Pellonpää;Kati Outinen;Sakari Kuosmanen;Esko Nikkari;Kylli Köngäs
5;Allison Anders;Four Rooms;6.5;Crime|Comedy;25/12/1995;Tim Roth;Antonio Banderas;Jennifer Beals;Madonna;Marisa Tomei
6;Stephen Hopkins;Judgment Night;6.5;Action|Thriller|Crime;15/10/1993;Emilio Estevez;Cuba Gooding Jr.;Denis Leary;Jeremy Piven;Peter Greene
8;Timo Novotny;Life in Loops (A Megacities RMX);6.4;Documentary;1/01/2006;none;none;none;none;none
9;Marc Meyer;Sonntag im August;5.3;Drama;2/09/2004;Rita Lengyel;Milton Welsh;none;none;none
11;George Lucas;Star Wars;8.0;Adventure|Action|Science Fiction;25/05/1977;Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing;Alec Guinness
12;Andrew Stanton;Finding Nemo;7.6;Animation|Family;30/05/2003;Albert Brooks;Ellen DeGeneres;Alexander Gould;Willem Dafoe;Brad Garrett
13;Robert Zemeckis;Forrest Gump;8.2;Comedy|Drama|Romance;6/07/1994;Tom Hanks;Robin Wright;Gary Sinise;Mykelti Williamson;Sally Field
14;Sam Mendes;American Beauty;7.9;Drama;15/09/1999;Kevin Spacey;Annette Bening;Thora Birch;Wes Bentley;Mena Suvari
15;Orson Welles;Citizen Kane;7.9;Mystery|Drama;30/04/1941;Orson Welles;Joseph Cotten;Dorothy Comingore;Ray Collins;George Coulouris
16;Lars von Trier;Dancer in the Dark;7.6;Drama|Crime|Music;17/05/2000;Björk;Catherine Deneuve;David Morse;Peter Stormare;Joel Grey
17;John Fawcett;The Dark;5.6;Horror|Thriller|Mystery;26/01/2006;Sean Bean;Maria Bello;Richard Elfyn;Maurice Roeves;Abigail Stone
18;Luc Besson;The Fifth Element;7.2;Adventure|Fantasy|Action|Thriller|Science Fiction;7/05/1997;Bruce Willis;Gary Oldman;Ian Holm;Milla Jovovich;Chris Tucker
19;Fritz Lang;Metropolis;8.0;Drama|Science Fiction;10/01/1927;Brigitte Helm;Alfred Abel;Gustav Fröhlich;Rudolf Klein-Rogge;Fritz Rasp
20;Isabel Coixet;My Life Without Me;7.2;Drama|Romance;7/03/2003;Sarah Polley;Amanda Plummer;Scott Speedman;Leonor Watling;Deborah Harry
21;Bruce Brown;The Endless Summer;7.8;Documentary;15/06/1966;none;Michael Hynson;Robert August;Lord 'Tally Ho' Blears;Bruce Brown
22;Gore Verbinski;Pirates of the Caribbean: The Curse of the Black Pearl;7.4;Adventure|Fantasy|Action;9/07/2003;Johnny Depp;Geoffrey Rush;Orlando Bloom;Keira Knightley;Jack Davenport
24;Quentin Tarantino;Kill Bill: Vol. 1;7.7;Action|Crime;10/10/2003;Uma Thurman;Lucy Liu;Vivica A. Fox;Daryl Hannah;David Carradine
25;Sam Mendes;Jarhead;6.5;Drama|War;4/11/2005;Jamie Foxx;Scott MacDonald;none;Lucas Black;Peter Sarsgaard
26;Eytan Fox;LaLehet Al HaMayim;6.4;Drama;5/02/2004;Lior Ashkenazi;Knut Berger;Caroline Peters;Gideon Shemer;Carola Regnier
27;Michael Winterbottom;9 Songs;5.1;Drama|Music|Romance;16/07/2004;Kieran O'Brien;Margo Stilley;Courtney Taylor-Taylor;Alex Kapranos;Guy Garvey
28;Francis Ford Coppola;Apocalypse Now;8.0;Drama|War;15/08/1979;Martin Sheen;Marlon Brando;Robert Duvall;Frederic Forrest;Sam Bottoms
30;Kôji Morimoto;彼女の想いで;7.7;Animation|Science Fiction;23/12/1995;Tsutomu Isobe;Ami Hasegawa;Gara Takashima;Kouichi Yamadera;none
31;Tensai Okamura;最臭兵器;5.3;Action|Animation|Comedy;23/12/1995;none;none;none;none;none
32;Katsuhiro Ōtomo;大砲の街;5.3;Animation|History;23/12/1995;none;Hisao Egawa;Nobuaki Fukuda;Yu Hayashi;Hiroaki Ishikawa
33;Clint Eastwood;Unforgiven;7.7;Western;7/08/1992;Clint Eastwood;Gene Hackman;Morgan Freeman;Richard Harris;Jaimz Woolvett
35;David Silverman;The Simpsons Movie;6.9;Animation|Comedy|Family;25/07/2007;Dan Castellaneta;Julie Kavner;Nancy Cartwright;Yeardley Smith;Hank Azaria
38;Michel Gondry;Eternal Sunshine of the Spotless Mind;7.9;Science Fiction|Drama|Romance;19/03/2004;Jim Carrey;Kate Winslet;Kirsten Dunst;Mark Ruffalo;Elijah Wood
55;Alejandro González Iñárritu;Amores perros;7.6;Drama|Thriller;16/06/2000;Gael García Bernal;Vanessa Bauche;Goya Toledo;Alvaro Guerrero;Emilio Echevarría
58;Gore Verbinski;Pirates of the Caribbean: Dead Man's Chest;6.9;Adventure|Fantasy|Action;20/06/2006;Johnny Depp;Orlando Bloom;Keira Knightley;Stellan Skarsgård;Bill Nighy
59;David Cronenberg;A History of Violence;6.9;Drama|Thriller|Crime;23/09/2005;Viggo Mortensen;Maria Bello;Heidi Hayes;Ashton Holmes;William Hurt
62;Stanley Kubrick;2001: A Space Odyssey;7.8;Science Fiction|Mystery|Adventure;5/04/1968;Keir Dullea;Gary Lockwood;William Sylvester;Douglas Rain;Daniel Richter
63;Terry Gilliam;Twelve Monkeys;7.4;Science Fiction|Thriller|Mystery;29/12/1995;Bruce Willis;Madeleine Stowe;Brad Pitt;Christopher Plummer;David Morse
64;Pedro Almodóvar;Hable con Ella;7.4;Drama|Romance;14/03/2002;Leonor Watling;Rosario Flores;Javier Cámara;Darío Grandinetti;Mariola Fuentes
65;Curtis Hanson;8 Mile;6.8;Drama;8/11/2002;Eminem;Mekhi Phifer;Brittany Murphy;Kim Basinger;Michael Shannon
66;Clint Eastwood;Absolute Power;6.4;Crime|Drama|Thriller;14/02/1997;Clint Eastwood;Gene Hackman;Ed Harris;Scott Glenn;Laura Linney
67;Hany Abu-Assad;Paradise Now;6.9;Thriller|Crime|Drama;14/02/2005;Ali Suliman;none;Amer Hlehel;Hiam Abbass;Ashraf Barhom
68;Terry Gilliam;Brazil;7.6;Comedy|Science Fiction;20/02/1985;Jonathan Pryce;Robert De Niro;Katherine Helmond;Ian Holm;Bob Hoskins
69;James Mangold;Walk the Line;7.3;Drama|Music|Romance;13/09/2005;Joaquin Phoenix;Reese Witherspoon;Ginnifer Goodwin;Robert Patrick;Tyler Hilton
70;Clint Eastwood;Million Dollar Baby;7.7;Drama;15/12/2004;Clint Eastwood;Hilary Swank;Morgan Freeman;Jay Baruchel;Mike Colter
71;Stephen Daldry;Billy Elliot;7.4;Drama|Comedy|Music;18/05/2000;Jamie Bell;Julie Walters;Jean Heywood;Jamie Draven;Gary Lewis
73;Tony Kaye;American History X;8.1;Drama;30/10/1998;Edward Norton;Edward Furlong;Beverly D'Angelo;Avery Brooks;Jennifer Lien
74;Steven Spielberg;War of the Worlds;6.1;Adventure|Thriller|Science Fiction;23/06/2005;Tom Cruise;Dakota Fanning;Miranda Otto;Justin Chatwin;Tim Robbins
75;Tim Burton;Mars Attacks!;6.1;Comedy|Fantasy|Science Fiction;12/12/1996;Jack Nicholson;Glenn Close;Annette Bening;Pierce Brosnan;Danny DeVito
76;Richard Linklater;Before Sunrise;7.7;Drama|Romance;27/01/1995;Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl;Karl Bruckschwaiger
77;Christopher Nolan;Memento;8.1;Mystery|Thriller;11/10/2000;Guy Pearce;Carrie-Anne Moss;Joe Pantoliano;Mark Boone Junior;Stephen Tobolowsky
78;Ridley Scott;Blade Runner;7.9;Science Fiction|Drama|Thriller;25/06/1982;Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos;Joe Turkel
79;Zhang Yimou;英雄;7.2;Drama|Adventure|Action|History;19/12/2002;Jet Li;Tony Leung Chiu-Wai;Maggie Cheung;Donnie Yen;Zhang Ziyi
80;Richard Linklater;Before Sunset;7.6;Drama|Romance;10/02/2004;Ethan Hawke;Julie Delpy;Vernon Dobtcheff;Louise Lemoine Torrès;none
81;Hayao Miyazaki;風の谷のナウシカ;7.7;Adventure|Animation|Fantasy;11/03/1984;Sumi Shimamoto;Ichirō Nagai;Gorō Naya;Yōji Matsuda;Yoshiko Sakakibara
82;Michael Mann;Miami Vice;5.7;Action|Adventure|Crime|Thriller;27/07/2006;Jamie Foxx;Colin Farrell;Gong Li;Luis Tosar;Naomie Harris
83;Chris Kentis;Open Water;5.4;Drama|Thriller;6/08/2004;Blanchard Ryan;Daniel Travis;Saul Stein;Michael E. Williamson;Christina Zenato
85;Steven Spielberg;Raiders of the Lost Ark;7.7;Adventure|Action;12/06/1981;Harrison Ford;Karen Allen;Paul Freeman;Ronald Lacey;John Rhys-Davies
86;Oskar Roehler;Elementarteilchen;6.6;Drama|Romance;10/02/2006;Christian Ulmen;Moritz Bleibtreu;Martina Gedeck;Franka Potente;Nina Hoss
87;Steven Spielberg;Indiana Jones and the Temple of Doom;7.1;Adventure|Action;23/05/1984;Harrison Ford;Kate Capshaw;Jonathan Ke Quan;Amrish Puri;Roshan Seth
88;Emile Ardolino;Dirty Dancing;7.0;Drama|Music|Romance;21/08/1987;Jennifer Grey;Patrick Swayze;Jerry Orbach;Cynthia Rhodes;Jack Weston
89;Steven Spielberg;Indiana Jones and the Last Crusade;7.6;Adventure|Action;24/05/1989;Harrison Ford;Sean Connery;Denholm Elliott;Alison Doody;John Rhys-Davies
90;Martin Brest;Beverly Hills Cop;6.8;Action|Comedy|Crime;29/11/1984;Eddie Murphy;Judge Reinhold;John Ashton;Ronny Cox;Paul Reiser
91;Luis Buñuel;Las Hurdes;6.6;Documentary;1/12/1933;Abel Jacquin;Alexandre O'Neill;none;none;none
92;Michael Glawogger;Megacities;7.0;Documentary;12/08/1998;Shankar Loutakke;none;none;none;none
93;Otto Preminger;Anatomy of a Murder;7.7;Crime|Drama|Mystery|Thriller;1/07/1959;James Stewart;Lee Remick;Ben Gazzara;Arthur O'Connell;Eve Arden
94;André F. Nebe;Kunstgriff;0.0;Comedy;1/01/2002;Ursula Buschhorn;Hans Werner Meyer;none;none;none
95;Michael Bay;Armageddon;6.4;Action|Thriller|Science Fiction|Adventure;1/07/1998;Bruce Willis;Billy Bob Thornton;Ben Affleck;Liv Tyler;Will Patton
96;Tony Scott;Beverly Hills Cop II;6.1;Action|Comedy|Crime;18/05/1987;Eddie Murphy;Judge Reinhold;John Ashton;Ronny Cox;Paul Reiser
97;Steven Lisberger;Tron;6.6;Science Fiction|Action|Adventure;9/07/1982;Jeff Bridges;Bruce Boxleitner;David Warner;Cindy Morgan;Barnard Hughes
98;Ridley Scott;Gladiator;7.8;Action|Drama|Adventure;1/05/2000;Russell Crowe;Joaquin Phoenix;Connie Nielsen;Oliver Reed;Richard Harris
99;Pedro Almodóvar;Todo sobre mi madre;7.4;Comedy|Drama;19/04/1999;Cecilia Roth;Marisa Paredes;Penélope Cruz;Candela Peña;Antonia San Juan
100;Guy Ritchie;Lock, Stock and Two Smoking Barrels;7.4;Comedy|Crime;5/03/1998;Jason Flemyng;Dexter Fletcher;Nick Moran;Jason Statham;Vinnie Jones
101;Luc Besson;Léon;8.1;Thriller|Crime|Drama;14/09/1994;Jean Reno;Natalie Portman;Gary Oldman;Danny Aiello;Peter Appel
102;Susanne Bier;Elsker dig for evigt;6.8;Drama|Romance;6/09/2002;Sonja Richter;Nikolaj Lie Kaas;Mads Mikkelsen;Paprika Steen;Stine Bjerregaard
103;Martin Scorsese;Taxi Driver;8.0;Crime|Drama;7/02/1976;Robert De Niro;Cybill Shepherd;Harvey Keitel;Jodie Foster;Peter Boyle
104;Tom Tykwer;Lola rennt;7.2;Action|Drama|Thriller;20/08/1998;Franka Potente;Moritz Bleibtreu;Herbert Knaup;Nina Petri;Armin Rohde
105;Robert Zemeckis;Back to the Future;8.0;Adventure|Comedy|Science Fiction|Family;3/07/1985;Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover;Thomas F. Wilson
106;John McTiernan;Predator;7.3;Science Fiction|Action|Adventure|Thriller;11/06/1987;Arnold Schwarzenegger;Carl Weathers;Elpidia Carrillo;Bill Duke;Jesse Ventura
107;Guy Ritchie;Snatch;7.7;Thriller|Crime;1/09/2000;Jason Statham;Brad Pitt;Vinnie Jones;Dennis Farina;Benicio del Toro
108;Krzysztof Kieślowski;Trois couleurs : Bleu;7.7;Drama|Music|Mystery;10/01/1993;Juliette Binoche;Benoît Régent;Florence Pernel;Charlotte Véry;Hélène Vincent
109;Krzysztof Kieślowski;Trois couleurs : Blanc;7.3;Comedy|Drama|Mystery;26/01/1994;Zbigniew Zamachowski;Julie Delpy;Janusz Gajos;Jerzy Stuhr;Aleksander Bardini
110;Krzysztof Kieślowski;Trois couleurs : Rouge;7.8;Drama|Mystery|Romance;27/05/1994;Irène Jacob;Jean-Louis Trintignant;Jean-Pierre Lorit;Frédérique Feder;Samuel Le Bihan
111;Brian De Palma;Scarface;7.9;Action|Crime|Drama|Thriller;8/12/1983;Al Pacino;Steven Bauer;Michelle Pfeiffer;Mary Elizabeth Mastrantonio;Robert Loggia
112;Lone Scherfig;Italiensk for begyndere;6.5;Comedy|Drama|Romance;7/12/2000;Peter Gantzler;Sara Indrio Jensen;Ann Eleonora Jørgensen;Anders W. Berthelsen;Anette Støvelbæk
113;Kim Ki-duk;봄 여름 가을 겨울 그리고 봄;7.6;Drama;19/09/2003;Oh Young;Kim Ki-duk;Kim Young-min;Ha Yeo-jin;Seo Jae-kyeong
114;Garry Marshall;Pretty Woman;6.9;Romance|Comedy;23/03/1990;Julia Roberts;Richard Gere;Ralph Bellamy;Jason Alexander;Héctor Elizondo
115;Joel Coen;The Big Lebowski;7.8;Comedy|Crime;6/03/1998;Jeff Bridges;John Goodman;Julianne Moore;Steve Buscemi;Philip Seymour Hoffman
116;Woody Allen;Match Point;7.2;Drama|Thriller|Crime|Romance;26/10/2005;Jonathan Rhys Meyers;Scarlett Johansson;Emily Mortimer;Brian Cox;Penelope Wilton
117;Brian De Palma;The Untouchables;7.6;Crime|Drama|History|Thriller;2/06/1987;Kevin Costner;Sean Connery;Robert De Niro;Andy García;Charles Martin Smith
118;Tim Burton;Charlie and the Chocolate Factory;6.6;Adventure|Comedy|Family|Fantasy;13/07/2005;Johnny Depp;Freddie Highmore;David Kelly;AnnaSophia Robb;Julia Winter
120;Peter Jackson;The Lord of the Rings: The Fellowship of the Ring;8.0;Adventure|Fantasy|Action;18/12/2001;Elijah Wood;Ian McKellen;Cate Blanchett;Orlando Bloom;Sean Bean
121;Peter Jackson;The Lord of the Rings: The Two Towers;8.0;Adventure|Fantasy|Action;18/12/2002;Elijah Wood;Ian McKellen;Viggo Mortensen;Liv Tyler;Orlando Bloom
122;Peter Jackson;The Lord of the Rings: The Return of the King;8.1;Adventure|Fantasy|Action;1/12/2003;Elijah Wood;Ian McKellen;Viggo Mortensen;Liv Tyler;Orlando Bloom
123;Ralph Bakshi;The Lord of the Rings;6.1;Fantasy|Drama|Animation|Adventure;15/11/1978;Christopher Guard;William Squire;Michael Scholes;John Hurt;Simon Chandler
124;Krzysztof Kieślowski;Bez Konca;7.0;Drama|Fantasy;17/06/1985;Grażyna Szapołowska;Maria Pakulnis;Aleksander Bardini;Jerzy Radziwiłowicz;Artur Barciś
125;Krzysztof Kieślowski;Dworzec;4.9;Documentary;1/01/1980;none;none;none;none;none
126;Krzysztof Kieślowski;Krótki dzień pracy;5.0;Drama;1/01/1981;Wacław Ulewicz;Mirosław Siedler;Paweł Nowisz;Tadeusz Bartosik;Zbigniew Bielski
127;Krzysztof Kieślowski;Przypadek;7.6;Drama;10/01/1987;Zbigniew Zapasiewicz;Marzena Trybała;Jerzy Stuhr;Adam Ferency;Tadeusz Łomnicki
128;Hayao Miyazaki;もののけ姫;8.2;Adventure|Fantasy|Animation;12/07/1997;Yōji Matsuda;Yuriko Ishida;Yūko Tanaka;Kaoru Kobayashi;Masahiko Nishimura
129;Hayao Miyazaki;千と千尋の神隠し;8.3;Fantasy|Adventure|Animation|Family;20/07/2001;Rumi Hiiragi;Miyu Irino;Mari Natsuki;Takashi Naito;Yasuko Sawaguchi
132;Albert Maysles;Gimme Shelter;7.8;Documentary|Music;6/12/1970;Mick Jagger;Keith Richards;Charlie Watts;Bill Wyman;Mick Taylor
133;Robert Drew;Primary;7.0;Documentary;1/01/1960;John F. Kennedy;Hubert H. Humphrey;Joseph Julian;Jacqueline Kennedy;Robert F. Kennedy
134;Joel Coen;O Brother, Where Art Thou?;7.3;Action|Adventure|Comedy;30/08/2000;George Clooney;John Turturro;Tim Blake Nelson;John Goodman;Holly Hunter
135;D.A. Pennebaker;Bob Dylan: Dont Look Back;7.6;Documentary|Music;17/05/1967;Bob Dylan;Albert Grossman;Bob Neuwirth;Joan Baez;Alan Price
136;Tod Browning;Freaks;7.7;Drama|Horror;20/02/1932;Harry Earles;Daisy Earles;Olga Baclanova;Henry Victor;Leila Hyams
137;Harold Ramis;Groundhog Day;7.4;Romance|Fantasy|Drama|Comedy;11/02/1993;Bill Murray;Andie MacDowell;Chris Elliott;Stephen Tobolowsky;Brian Doyle-Murray
138;Tod Browning;Dracula;7.1;Horror;12/02/1931;Bela Lugosi;Helen Chandler;David Manners;Dwight Frye;Edward Van Sloan
139;Søren Kragh-Jacobsen;Mifunes sidste sang;6.9;Romance|Comedy|Drama;12/03/1999;Anders W. Berthelsen;Iben Hjejle;Jesper Asholt;Sofie Gråbøl;Emil Tarding
140;Pedro Almodóvar;La mala educación;7.0;Crime|Drama|Romance|Thriller;19/03/2004;Gael García Bernal;Fele Martínez;Daniel Giménez Cacho;Lluís Homar;Francisco Maestre
141;Richard Kelly;Donnie Darko;7.7;Fantasy|Drama|Mystery;18/01/2001;Jake Gyllenhaal;Jena Malone;Patrick Swayze;Maggie Gyllenhaal;Drew Barrymore
142;Ang Lee;Brokeback Mountain;7.4;Drama|Romance;2/09/2005;Heath Ledger;Jake Gyllenhaal;Randy Quaid;Michelle Williams;Anne Hathaway
143;Lewis Milestone;All Quiet on the Western Front;7.5;Drama|War;21/04/1930;Lew Ayres;Arnold Lucy;John Wray;Louis Wolheim;Ben Alexander
144;Wim Wenders;Der Himmel über Berlin;7.5;Drama|Fantasy|Romance;1/01/1987;Bruno Ganz;Otto Sander;Solveig Dommartin;Curt Bois;Peter Falk
145;Lars von Trier;Breaking the Waves;7.2;Drama|Romance;13/05/1996;Emily Watson;Stellan Skarsgård;Katrin Cartlidge;Jean-Marc Barr;Adrian Rawlins
146;Ang Lee;卧虎藏龙;7.2;Adventure|Drama|Action|Romance;1/10/2000;Chow Yun-fat;Michelle Yeoh;Zhang Ziyi;Chang Chen;Cheng Pei-Pei
147;François Truffaut;Les quatre cents coups;7.9;Drama;4/05/1959;Jean-Pierre Léaud;Claire Maurier;Albert Rémy;Georges Flamant;Patrick Auffay
148;Isabel Coixet;The Secret Life of Words;6.7;Drama|Romance;15/12/2005;Sarah Polley;Tim Robbins;Javier Cámara;Eddie Marsan;Steven Mackintosh
149;Katsuhiro Ōtomo;アキラ;7.8;Science Fiction|Animation;16/07/1988;Mitsuo Iwata;Nozomu Sasaki;Mami Koyama;Tesshou Genda;Hiroshi Ohtake
150;Walter Hill;48 Hrs.;6.5;Thriller|Action|Comedy|Crime|Drama;7/12/1982;Nick Nolte;Eddie Murphy;Annette O'Toole;Frank McRae;James Remar
152;Robert Wise;Star Trek: The Motion Picture;6.2;Science Fiction|Adventure|Mystery;6/12/1979;William Shatner;Leonard Nimoy;George Takei;James Doohan;Walter Koenig
153;Sofia Coppola;Lost in Translation;7.3;Drama;31/08/2003;Bill Murray;Scarlett Johansson;Anna Faris;Giovanni Ribisi;Akiko Takeshita
154;Nicholas Meyer;Star Trek II: The Wrath of Khan;7.3;Action|Adventure|Science Fiction|Thriller;3/06/1982;William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei
155;Christopher Nolan;The Dark Knight;8.2;Drama|Action|Crime|Thriller;16/07/2008;Christian Bale;Michael Caine;Heath Ledger;Aaron Eckhart;Gary Oldman
156;Lone Scherfig;Wilbur begår selvmord;6.8;Comedy|Drama|Romance;8/11/2002;Jamie Sives;Adrian Rawlins;Shirley Henderson;Lisa McKinlay;Mads Mikkelsen
157;Leonard Nimoy;Star Trek III: The Search for Spock;6.4;Science Fiction|Action|Adventure|Thriller;31/05/1984;William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei
158;Thomas Jahn;Knockin' on Heaven's Door;7.5;Comedy|Crime;20/02/1997;Til Schweiger;Jan Josef Liefers;Thierry van Werveke;Moritz Bleibtreu;Huub Stapel
159;Sönke Wortmann;Der bewegte Mann;6.3;Comedy|Drama;5/10/1994;Til Schweiger;Katja Riemann;Joachim Król;Rufus Beck;Armin Rohde
160;Louis Lumière;L'arrivée d'un train en gare de La Ciotat;6.8;Documentary;1896-01-25;none;Jeanne-Joséphine Lumière;none;none;none
161;Steven Soderbergh;Ocean's Eleven;7.1;Thriller|Crime;7/12/2001;George Clooney;Brad Pitt;Matt Damon;Andy García;Julia Roberts
162;Tim Burton;Edward Scissorhands;7.5;Fantasy|Drama|Romance;5/12/1990;Johnny Depp;Winona Ryder;Dianne Wiest;Alan Arkin;Anthony Michael Hall
163;Steven Soderbergh;Ocean's Twelve;6.4;Thriller|Crime;9/12/2004;George Clooney;Brad Pitt;Catherine Zeta-Jones;Julia Roberts;Andy García
164;Blake Edwards;Breakfast at Tiffany's;7.6;Comedy|Drama|Romance;5/10/1961;Audrey Hepburn;George Peppard;Patricia Neal;Buddy Ebsen;Martin Balsam
165;Robert Zemeckis;Back to the Future Part II;7.4;Adventure|Comedy|Family|Science Fiction;20/11/1989;Michael J. Fox;Christopher Lloyd;Lea Thompson;Elisabeth Shue;James Tolkan
166;Claude Pinoteau;La Boum;6.4;Drama|Romance|Comedy;1/01/1980;Claude Brasseur;Brigitte Fossey;Sophie Marceau;Denise Grey;Dominique Lavanant
167;Iain Softley;K-PAX;7.1;Drama|Science Fiction;22/10/2001;Jeff Bridges;Kevin Spacey;Mary McCormack;Alfre Woodard;Ajay Naidu
168;Leonard Nimoy;Star Trek IV: The Voyage Home;6.9;Science Fiction|Adventure;25/11/1986;William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei
169;Stephen Hopkins;Predator 2;5.9;Science Fiction|Action|Thriller;20/11/1990;Kevin Peter Hall;Danny Glover;Gary Busey;Rubén Blades;María Conchita Alonso
170;Danny Boyle;28 Days Later;7.1;Horror|Thriller|Science Fiction;31/10/2002;Cillian Murphy;Naomie Harris;Noah Huntley;Christopher Dunne;Emma Hitching
171;Claude Pinoteau;La Boum 2;6.2;Comedy;8/12/1982;Claude Brasseur;Brigitte Fossey;Sophie Marceau;Denise Grey;Pierre Cosso
172;William Shatner;Star Trek V: The Final Frontier;5.6;Science Fiction|Action|Adventure|Thriller;9/06/1989;William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei
173;Richard Fleischer;20,000 Leagues Under the Sea;6.8;Adventure|Drama|Science Fiction;23/12/1954;Kirk Douglas;James Mason;Paul Lukas;Peter Lorre;Robert J. Wilke
174;Nicholas Meyer;Star Trek VI: The Undiscovered Country;6.7;Science Fiction|Action|Adventure|Thriller;5/12/1991;William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei
175;Luc Besson;Le Grand Bleu;7.6;Adventure|Drama|Romance;11/05/1988;Jean-Marc Barr;Jean Reno;Rosanna Arquette;Paul Shenar;Sergio Castellitto
176;James Wan;Saw;7.2;Horror|Mystery|Crime;1/10/2004;Cary Elwes;Danny Glover;Monica Potter;Michael Emerson;Ken Leung
177;Terry Gilliam;The Fisher King;7.2;Comedy|Drama;9/09/1991;Jeff Bridges;Robin Williams;Mercedes Ruehl;Amanda Plummer;Michael Jeter
178;Stephen Hopkins;Blown Away;5.9;Drama|Action|Thriller;1/07/1994;Jeff Bridges;Tommy Lee Jones;Suzy Amis;Lloyd Bridges;Forest Whitaker
179;Sydney Pollack;The Interpreter;6.2;Crime|Thriller;8/04/2005;Nicole Kidman;Sean Penn;Catherine Keener;Jesper Christensen;Yvan Attal
180;Steven Spielberg;Minority Report;7.1;Action|Thriller|Science Fiction|Mystery;20/06/2002;Tom Cruise;Colin Farrell;Samantha Morton;Max von Sydow;Lois Smith
182;Steven Soderbergh;The Good German;5.9;War|Crime|Drama|Mystery|Romance|Thriller;8/12/2006;George Clooney;Cate Blanchett;Tobey Maguire;Tony Curran;Leland Orser
183;Todd Holland;The Wizard;6.1;Adventure|Comedy|Drama|Family|Romance;15/12/1989;Fred Savage;Luke Edwards;Beau Bridges;Christian Slater;Jenny Lewis
184;Quentin Tarantino;Jackie Brown;7.3;Action|Crime|Drama|Thriller;24/12/1997;Pam Grier;Samuel L. Jackson;Robert Forster;Bridget Fonda;Michael Keaton
185;Stanley Kubrick;A Clockwork Orange;7.9;Science Fiction|Drama;18/12/1971;Malcolm McDowell;Patrick Magee;Adrienne Corri;Michael Bates;Warren Clarke
186;Paul McGuigan;Lucky Number Slevin;7.4;Drama|Thriller|Crime|Mystery;24/02/2006;Josh Hartnett;Bruce Willis;Lucy Liu;Morgan Freeman;Ben Kingsley
187;Robert Rodriguez;Sin City;7.2;Action|Thriller|Crime;31/03/2005;Jessica Alba;Devon Aoki;Alexis Bledel;Powers Boothe;Rosario Dawson
189;Robert Rodriguez;Sin City: A Dame to Kill For;6.3;Crime|Thriller;20/08/2014;Mickey Rourke;Jessica Alba;Josh Brolin;Joseph Gordon-Levitt;Rosario Dawson
190;Timo Mugele;Das Dorf der Freundschaft;0.0;Documentary;25/08/2001;none;none;none;none;none
191;Christian Petzold;Die innere Sicherheit;7.0;Drama;1/09/2000;Julia Hummer;Barbara Auer;Richy Müller;Bilge Bingul;Katharina Schüttler
192;Jean-Jacques Annaud;The Name of the Rose;7.2;Drama|Thriller|Mystery;24/09/1986;Sean Connery;Christian Slater;Helmut Qualtinger;Elya Baskin;Feodor Chaliapin Jr.
193;David Carson;Star Trek: Generations;6.3;Science Fiction|Action|Adventure|Thriller;17/11/1994;Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Michael Dorn
194;Jean-Pierre Jeunet;Le fabuleux destin d'Amélie Poulain;7.8;Comedy|Romance;25/04/2001;Audrey Tautou;Mathieu Kassovitz;Rufus;Jamel Debbouze;Claire Maurier
195;Ernst Lubitsch;Trouble in Paradise;7.3;Comedy|Romance;21/10/1932;Miriam  Hopkins;Kay Francis;Herbert Marshall;Charles Ruggles;Edward Everett Horton
196;Robert Zemeckis;Back to the Future Part III;7.1;Adventure|Comedy|Family|Science Fiction;25/05/1990;Michael J. Fox;Christopher Lloyd;Mary Steenburgen;Thomas F. Wilson;Lea Thompson
197;Mel Gibson;Braveheart;7.7;Action|Drama|History|War;24/05/1995;Mel Gibson;Catherine McCormack;Sophie Marceau;Patrick McGoohan;Angus Macfadyen
198;Ernst Lubitsch;To Be or Not to Be;7.7;Comedy|War;5/03/1942;Carole Lombard;Jack Benny;Robert Stack;Felix Bressart;Lionel Atwill
199;Jonathan Frakes;Star Trek: First Contact;7.0;Science Fiction|Action|Adventure|Thriller;21/11/1996;James Cromwell;Alfre Woodard;Alice Krige;Neal McDonough;Patrick Stewart
200;Jonathan Frakes;Star Trek: Insurrection;6.3;Science Fiction|Action|Adventure|Thriller;10/12/1998;Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Gates McFadden
